"time","Q"
6590,-43.1568
6600,-43.1865
6610,-43.2165
6620,-43.2463
6630,-43.2758
6640,-43.3055
6650,-43.335
6660,-43.3645
6670,-43.3937
6680,-43.4232
6690,-43.4525
6700,-43.4817
6710,-43.5108
6720,-43.54
6730,-43.569
6740,-43.598
6750,-43.6268
6760,-43.6557
6770,-43.6845
6780,-43.713
6790,-43.7417
6800,-43.7702
6810,-43.799
6820,-43.8272
6830,-43.8558
6840,-43.884
6850,-43.9123
6860,-43.9405
6870,-43.9688
6880,-43.9967
6890,-44.0247
6900,-44.0528
6910,-44.0807
6920,-44.1085
6930,-44.1362
6940,-44.164
6950,-44.1917
6960,-44.2193
6970,-44.247
6980,-44.2745
6990,-44.3017
7000,-44.3293
7010,-44.3565
7020,-44.3837
7030,-44.411
7040,-44.438
7050,-44.465
7060,-44.492
7070,-44.519
7080,-44.546
7090,-44.5727
7100,-44.5995
7110,-44.6262
7120,-44.653
7130,-44.6795
7140,-44.706
7150,-44.7325
7160,-44.759
7170,-44.7852
7180,-44.8118
7190,-44.838
7200,-44.864
7210,-44.8902
7220,-44.9162
7230,-44.9423
7240,-44.9682
7250,-44.9942
7260,-45.02
7270,-45.0457
7280,-45.0715
7290,-45.0973
7300,-45.1227
7310,-45.1485
7320,-45.174
7330,-45.1992
7340,-45.2248
7350,-45.25
7360,-45.2755
7370,-45.3005
7380,-45.3257
7390,-45.351
7400,-45.376
7410,-45.401
7420,-45.426
7430,-45.4507
7440,-45.4757
7450,-45.5005
7460,-45.5252
7470,-45.5498
7480,-45.5745
7490,-45.599
7500,-45.6235
7510,-45.648
7520,-45.6725
7530,-45.6967
7540,-45.721
7550,-45.7452
7560,-45.7695
7570,-45.7938
7580,-45.8177
7590,-45.8417
7600,-45.8657
7610,-45.8897
7620,-45.9135
7630,-45.9372
7640,-45.961
7650,-45.9847
7660,-46.0085
7670,-46.032
7680,-46.0558
7690,-46.0793
7700,-46.1025
7710,-46.126
7720,-46.1492
7730,-46.1727
7740,-46.196
7750,-46.219
7760,-46.2422
7770,-46.2652
7780,-46.2882
7790,-46.3113
7800,-46.3342
7810,-46.3572
7820,-46.38
7830,-46.4027
7840,-46.4255
7850,-46.4483
7860,-46.4707
7870,-46.4935
